player_name,pitch_type_recovered,avg_stuff_plus,avg_location_plus,avg_pitch_plus,pitch_count
"Kelly, Joe",KC,102.3313562,103.5506355,102.8190679,99
"Slaten, Justin",ST,103.5604788,101.7018965,102.8170459,205
"Sborz, Josh",FF,106.4486361,97.36528759,102.8152967,136
"Hentges, Sam",SL,104.3051161,100.5753551,102.8132117,75
"Brazobán, Huascar",SI,103.7038757,101.4688355,102.8098596,223
"Glasnow, Tyler",FF,105.6177598,98.59337313,102.8080051,909
"Petersen, Michael",FF,106.5193877,97.23189685,102.8043914,233
"Woods Richardson, Simeon",SL,104.2943977,100.5639209,102.802207,716
"Festa, David",FF,105.1285192,99.30798443,102.8003053,442
"Marte, José",SI,103.6063821,101.5909259,102.8001996,91
"Quantrill, Cal",CH,103.8678193,101.1695328,102.7885047,69
"Detmers, Reid",SI,106.2668218,97.54719593,102.7789715,75
"Kittredge, Andrew",SL,103.9946817,100.953571,102.7782374,516
"Zuñiga, Guillo",SI,104.5668724,100.0885432,102.7755407,100
"Berroa, Prelander",FF,103.7355356,101.3307152,102.7736075,148
"Waguespack, Jacob",FF,105.7027217,98.378828,102.7731642,103
"Kelly, Joe",SL,104.0311303,100.8741583,102.7683415,123
"Ramirez, Emmanuel",FS,102.3122387,103.4498622,102.7672881,137
"Arrighetti, Spencer",CU,102.8632857,102.6222253,102.7668615,498
"Estrada, Jeremiah",SL,104.3594735,100.3552639,102.7577897,241
"Faucher, Calvin",ST,103.3004079,101.9245968,102.7500835,68
"Lucas, Easton",FF,104.980879,99.39437568,102.7462777,131
"Rosenberg, Kenny",CH,104.0560941,100.7812843,102.7461702,132
"Reynolds, Sean",SL,103.4197078,101.7131977,102.7371038,98
"Williams, Luke",EP,105.1515382,99.11084636,102.7352615,57
"Anderson, Nick",SI,106.7077414,96.76303838,102.7298602,138
"Matthews, Zebby",CH,101.3888923,104.7259718,102.7237241,57
"Anderson, Shaun",SL,104.7352488,99.70382747,102.7226803,90
"Hoffman, Jeff",SL,102.9012627,102.4479946,102.7199555,418
"Campbell, Isaiah",SL,103.7449776,101.1586708,102.7104549,70
"Gilbert, Logan",FC,105.4902866,98.4880909,102.6894083,321
"Jax, Griffin",SI,105.2211582,98.89144192,102.6892717,99
"Holton, Tyler",ST,101.6431114,104.2565836,102.6885003,215
"Detmers, Reid",FF,104.9710923,99.26074048,102.6869516,688
"Pallante, Andre",SI,105.5362321,98.40848241,102.6851322,388
"Boyle, Joe",SL,103.5491636,101.3845548,102.6833201,331
"Minter, A.J.",FF,104.3198792,100.2058587,102.674271,259
"Jones, Jared",SL,104.2170017,100.3593634,102.6739464,702
"Buehler, Walker",ST,102.5175738,102.9065743,102.673174,116
"Muñoz, Andrés",SI,102.2591583,103.292816,102.6726214,201
"Ellard, Fraser",FF,104.0232456,100.6289049,102.6655093,240
"Kinley, Tyler",SL,103.9033712,100.7961631,102.6604879,745
"Hendricks, Kyle",CH,103.6666342,101.1400396,102.6559964,827
"Faucher, Calvin",CU,102.0367683,103.5725585,102.6510844,217
"Burke, Brock",SL,103.4300877,101.4733036,102.647374,155
"Alcala, Jorge",SL,103.8689024,100.8054616,102.6435261,388
"Gil, Luis",SL,104.1237588,100.4223133,102.6431806,713
"Hernández, Jonathan",SI,103.4604059,101.4099085,102.640207,285
"Irvin, Cole",CH,104.3816576,100.0215644,102.6376203,249
"Bido, Osvaldo",CH,103.4690183,101.3866786,102.6360824,160
"Gaddis, Hunter",SL,104.6038277,99.68323734,102.6355916,486
"Gore, MacKenzie",CU,103.4851354,101.3607663,102.6353878,581
"Fulmer, Carson",CU,101.5269198,104.2847007,102.6300322,82
"Martinez, Justin",SL,103.7492445,100.9501471,102.6296056,255
"Imanaga, Shota",ST,102.8614961,102.2815662,102.6295241,196
"Montgomery, Jordan",SI,105.1281357,98.81885022,102.6044215,597
"Pepiot, Ryan",FF,104.0953938,100.3595289,102.6010478,1141
"Holderman, Colin",ST,103.6184498,101.0699786,102.5990613,414
"Kikuchi, Yusei",CU,103.4806297,101.2640616,102.5940025,532
"Cabrera, Edward",CH,103.7766841,100.7914725,102.5825995,579
"Vesia, Alex",CH,104.3980936,99.83303378,102.5720697,56
"Gibson, Kyle",CH,102.6757405,102.4114924,102.5700413,290
"Pint, Riley",SL,102.4811285,102.6888435,102.5642145,90
"Hjelle, Sean",SI,103.9504336,100.4737724,102.5597691,671
"Luzardo, Jesús",FF,104.6994687,99.34998317,102.5596745,387
"Pfaadt, Brandon",CU,102.2648915,102.9993477,102.558674,150
"Baumann, Mike",FF,104.6902211,99.35290511,102.5552947,433
"Doval, Camilo",SI,104.3782414,99.7781506,102.5382051,158
"Burke, Sean",SL,103.5805611,100.9745407,102.5381529,88
"Mazur, Adam",CH,102.0325611,103.2764763,102.5301272,60
"Lambert, Peter",SV,101.981586,103.3463956,102.5275098,115
"Maton, Phil",CU,103.3997792,101.1953273,102.5179984,326
"Chafin, Andrew",SI,104.6295618,99.34739409,102.5166947,383
"Nastrini, Nick",FF,102.4251411,102.6439934,102.512682,333
"Kirby, George",SI,105.679975,97.74130926,102.5045087,703
"Kelly, Zack",ST,102.9555864,101.8059278,102.495723,260
"Rodríguez, Manuel",SI,104.7533879,99.0929543,102.4892145,189
"Pepiot, Ryan",CH,103.6751859,100.7071481,102.4879708,544
"Megill, Tylor",CU,100.8419996,104.9035972,102.4666386,111
"Alzolay, Adbert",SL,103.87852,100.3307698,102.4594199,155
"Garrett, Reed",ST,101.7281439,103.5515703,102.4575145,195
"Flexen, Chris",FF,104.2225807,99.80947747,102.4573394,1038
"Wentz, Joey",CU,101.5146364,103.8701691,102.4568495,164
"Alzolay, Adbert",SI,104.882131,98.8076785,102.45235,78
"Brieske, Beau",FF,104.6141102,99.20676542,102.4511723,477
"Domínguez, Seranthony",SL,103.6591769,100.6241878,102.4451812,240
"Lange, Alex",SI,105.064162,98.5127487,102.4435967,95
"Vieira, Thyago",SL,102.9618332,101.6626855,102.4421741,266
"Leasure, Jordan",SL,104.50546,99.3465706,102.4419042,170
"Manning, Matt",ST,102.6422668,102.1287572,102.436863,166
